Person_Organization,Title,Quote_Description,Date,Source_Type,Source_Name,Direct_Link,Platform,Hype_Value,Tier,Notes
Sam Altman,OpenAI CEO,"In 2025, we may see the first AI agents 'join the workforce' and materially change the output of companies",January 2025,Blog Post,Reflections,https://forklog.com/en/sam-altman-openai-to-fully-roll-out-ai-agents-in-2025/,OpenAI Blog,100,1,Multiple media outlets covered this prediction
Sam Altman,OpenAI CEO,"We're now confident we know how to build AGI as we have traditionally understood it",January 2025,Blog/Interview,Multiple,https://time.com/7205596/sam-altman-superintelligence-agi/,Time Magazine,100,1,Positions agentic AI as path to AGI
Sam Altman,OpenAI CEO,Discussion on ChatGPT and AI agents future,2024,Video,TED Talk,https://www.youtube.com/watch?v=nG-UnhwuIuI,YouTube,100,1,47+ minute talk
Satya Nadella,Microsoft CEO,"Hey, why do I need Excel? I think the very notion that applications even exist, that's probably where they'll all collapse, right? In the Agent era",2025,Podcast,Interview,https://www.windowscentral.com/microsoft/hey-why-do-i-need-excel-microsoft-ceo-satya-nadella-foresees-a-disruptive-agentic-ai-era-that-could-aggressively-collapse-saas-apps,Windows Central,100,1,Predicts SaaS collapse
Satya Nadella,Microsoft CEO,"With Copilot, we are bringing the power of next-generation AI to the tools millions of people use every day",2025,Keynote,Microsoft Ignite,https://www.microsoft.com/insidetrack/blog/ai-powered-agents-in-action-how-were-embracing-this-new-agentic-moment-at-microsoft/,Microsoft,100,1,From company blog
Jensen Huang,NVIDIA CEO,"The age of AI agentics is here... a multitrillion‑dollar opportunity",January 2025,Keynote,CES 2025,https://www.telecomtv.com/content/digital-platforms-services/nvidia-ceo-ushers-in-the-agentic-ai-era-52058/,CES/TelecomTV,100,1,Video keynote available
Jensen Huang,NVIDIA CEO,AI agents are the new digital workforce,January 2025,Keynote,CES 2025,https://blogs.nvidia.com/blog/ces-2025-jensen-huang/,NVIDIA Blog,100,1,Positions as digital employees
Jensen Huang,NVIDIA CEO,GTC Paris 2025 content about agentic AI,2025,Social Media,Instagram,https://www.instagram.com/p/DLFOeTaNX3L/,Instagram,100,1,Visual content
Marc Benioff,Salesforce CEO,"Reduced support staff from 9,000 to 5,000; AI agents handle 50% of customer conversations",September 2025,Interview,Logan Bartlett Show,https://finance.yahoo.com/news/salesforce-ceo-says-company-axed-180346796.html,Yahoo Finance,80,2,Real implementation results
Marc Benioff,Salesforce CEO,Say hello to your new colleague,2025,Social Media,LinkedIn Post,https://www.linkedin.com/posts/marcbenioff_opinion-say-hello-to-your-new-colleague-activity-7313954417630662659-AiuP,LinkedIn,80,2,About digital labor revolution
Andy Jassy,Amazon CEO,"Need fewer people doing some of the jobs that are being done today... agents are coming, and coming fast",June 2025,Memo,Internal/Public,https://www.tekedia.com/amazons-jassy-envisions-agentic-future-says-ai-agents-will-soon-reduce-companys-corporate-jobs/,Tekedia,80,2,Candid about job displacement
Sundar Pichai,Google CEO,"From a total reimagining of Search to Agent Mode, Veo 3 and more, Gemini season will be the most exciting era of AI yet",5/20/2025,Social Media,X/Twitter,https://t.co/2n9rbGNj0Q,X/Twitter,100,1,Google I/O announcement
Paul Hudson,Sanofi CEO,"Disrupt your function with agentic AI by the end of the year. AI is the one thing that drives disruption",2025,Interview,McKinsey,https://www.mckinsey.com/industries/life-sciences/our-insights/dont-delegate-the-ai-revolution-a-conversation-with-sanofi-ceo-paul-hudson,McKinsey,60,3,Urging enterprise adoption
Arthur Mensch,Mistral AI CEO,"The technology to build powerful agents is already here... Agentic AI is the catalyst that can make this transition possible",2025,Report Foreword,McKinsey Report,https://www.mckinsey.com/capabilities/quantumblack/our-insights/seizing-the-agentic-ai-advantage,McKinsey,60,3,Industry validation
Bill Gates,Microsoft Co-founder,"Agents... will upend the software industry, bringing about the biggest revolution in computing since we went from typing commands to tapping on icons",10/24/2024,Article,interface.ai,https://interface.ai/,interface.ai,100,1,Historical comparison
Kevin Weil,OpenAI CPO,"These more agentic systems are going to become possible, and it is why I think 2025 is gonna be the year that agentic systems finally hit the mainstream",10/24/2024,Article,interface.ai,https://interface.ai/,interface.ai,60,3,Product leadership perspective
Andrej Karpathy,AI Researcher,"When I hear '2025 is the year of agents,' I get nervous... this is the decade of agents",2025,Conference,YC Startup School,https://www.accenture.com/us-en/blogs/data-ai/beyond-hype-why-agentic-ai-closer-than-you-think,Accenture Blog,80,2,Long-term vision
Cole Stryker,IBM AI Models Lead,"'Agentic' is the latest buzzword in AI, and in this case it's appropriate to believe the buzz",2025,Blog Post,IBM Think,https://www.ibm.com/think/insights/agentic-ai,IBM,20,5,Industry validation
